permit_no;date;address;type;work;entity;start;end;lnblock
 29706;05/27/2015;1901 Edgeworth Dr;Street Cut;New Construction;Columbia Gas;05/28/2015;06/18/2015;Yes
 29707;05/27/2015;106 Loneta Ave;Annual General Permit;Repair;Columbia Gas;05/28/2015;06/18/2015;No
 29734;05/27/2015;106 Shady Ln;Installation;Repair;Columbia Gas;05/28/2015;06/18/2015;No
 29708;05/27/2015;117 W Tiverton Way;Installation;Repair;Columbia Gas;05/28/2015;06/18/2015;No
 29709;05/27/2015;917 Dayton Ave;Street Cut;Maintenance;Kentucky American Water;05/15/2015;06/05/2015;Yes
 29710;05/27/2015;;Street Cut;Add/Change Equipment;Kentucky American Water;05/27/2015;06/17/2015;Yes
 29733;05/27/2015;4636 Larkhill Ln;Annual General Permit;Maintenance;Kentucky American Water;05/27/2015;06/17/2015;No
 29711;05/27/2015;2625 Red Leaf Dr;Annual General Permit;Maintenance;Kentucky American Water;05/27/2015;06/17/2015;No
 29712;05/27/2015;2408 Sir Barton Way;Installation;Add/Change Equipment;Kentucky American Water;05/27/2015;06/17/2015;No
 29713;05/27/2015;926 Winchester Rd;Street Cut;Add/Change Equipment;Columbia Gas;06/01/2015;07/03/2015;Yes
 29714;05/27/2015;1901 Glengarry Way;Annual General Permit;Maintenance;Windstream Communications;06/01/2015;06/22/2015;No
 29715;05/27/2015;1900 Spring Station Dr;Annual General Permit;Maintenance;Windstream Communications;06/01/2015;06/22/2015;No
 29735;05/27/2015;913 Old Georgetown St;Installation;New Construction;Kentucky Utilities;05/29/2015;06/26/2015;No
 29716;05/27/2015;2692 Richmond Rd;Annual General Permit;Maintenance;Windstream Communications;05/20/2015;06/10/2015;No
 29717;05/27/2015;Kilrush Dr;Annual General Permit;Repair;Columbia Gas;05/18/2015;06/08/2015;No
